ATM_long,ATM_lat,PS_x,PS_y,ATM_elev,dist_along
334.927961,79.205461,399692.5664864514,-1102457.2296627555,889.8492,16826.37966597536
334.929347,79.206135,399694.1347262749,-1102378.3324642687,890.3284,16905.292448876586
334.930732,79.20680899999999,399695.6801709514,-1102299.4428849705,890.8455,16984.197164331978
334.929637,79.206276,399694.46332092345,-1102361.826993434,890.4459,17046.59313946484
334.929555,79.205348,399727.445564054,-1102457.7160712876,889.8349,17147.99601720283
334.930943,79.20602199999999,399729.0503654678,-1102378.8047618358,890.3379,17226.92364320903
334.93233100000003,79.206696,399730.65160499257,-1102299.8940955475,890.8494,17305.850553842134
334.93122999999997,79.206161,399729.3953271262,-1102362.5256101233,890.4515,17368.49466651153
334.931152,79.205235,399762.38270340464,-1102458.180462952,889.8362,17469.677757309437
334.93254,79.20590899999999,399763.98558199924,-1102379.2689944562,890.3622,17548.605503254446
334.933928,79.206583,399765.5848987256,-1102300.358169215,890.828,17627.532533822094
334.93282200000004,79.206046,399764.3084420538,-1102363.2301158598,890.4658,17690.41743675224
334.932751,79.205123,399797.3214159511,-1102458.5270996527,889.8562,17791.270654675976
334.93413799999996,79.205797,399798.90312636766,-1102379.6224509184,890.3587,17870.191155179447
334.935526,79.20647,399800.53776840726,-1102300.8141761054,890.8227,17949.016381050347
334.934415,79.205931,399799.24114539556,-1102363.9265568275,890.4454,18012.142079712954
